id,name,created_at,updated_at
1,"e1",now(),now()
2,"e10",now(),now()
3,"e11",now(),now()
4,"e12",now(),now()
5,"e13",now(),now()
6,"e14",now(),now()
7,"e15",now(),now()
8,"e16",now(),now()
9,"e17",now(),now()
10,"e18",now(),now()
11,"e19",now(),now()
12,"e2",now(),now()
13,"e20",now(),now()
14,"e21",now(),now()
15,"e22",now(),now()
16,"e23",now(),now()
17,"e24",now(),now()
18,"e3",now(),now()
19,"e4",now(),now()
20,"e5",now(),now()
21,"e6",now(),now()
22,"e7",now(),now()
23,"e8",now(),now()
24,"e9",now(),now()
25,"Ethernet1/0/1",now(),now()
26,"Ethernet1/0/10",now(),now()
27,"Ethernet1/0/11",now(),now()
28,"Ethernet1/0/12",now(),now()
29,"Ethernet1/0/13",now(),now()
30,"Ethernet1/0/14",now(),now()
31,"Ethernet1/0/15",now(),now()
32,"Ethernet1/0/16",now(),now()
33,"Ethernet1/0/17",now(),now()
34,"Ethernet1/0/18",now(),now()
35,"Ethernet1/0/19",now(),now()
36,"Ethernet1/0/2",now(),now()
37,"Ethernet1/0/20",now(),now()
38,"Ethernet1/0/21",now(),now()
39,"Ethernet1/0/22",now(),now()
40,"Ethernet1/0/23",now(),now()
41,"Ethernet1/0/24",now(),now()
42,"Ethernet1/0/25",now(),now()
43,"Ethernet1/0/26",now(),now()
44,"Ethernet1/0/27",now(),now()
45,"Ethernet1/0/28",now(),now()
46,"Ethernet1/0/29",now(),now()
47,"Ethernet1/0/3",now(),now()
48,"Ethernet1/0/30",now(),now()
49,"Ethernet1/0/31",now(),now()
50,"Ethernet1/0/32",now(),now()
51,"Ethernet1/0/33",now(),now()
52,"Ethernet1/0/34",now(),now()
53,"Ethernet1/0/35",now(),now()
54,"Ethernet1/0/36",now(),now()
55,"Ethernet1/0/37",now(),now()
56,"Ethernet1/0/38",now(),now()
57,"Ethernet1/0/39",now(),now()
58,"Ethernet1/0/4",now(),now()
59,"Ethernet1/0/40",now(),now()
60,"Ethernet1/0/41",now(),now()
61,"Ethernet1/0/42",now(),now()
62,"Ethernet1/0/43",now(),now()
63,"Ethernet1/0/44",now(),now()
64,"Ethernet1/0/45",now(),now()
65,"Ethernet1/0/46",now(),now()
66,"Ethernet1/0/47",now(),now()
67,"Ethernet1/0/48",now(),now()
68,"Ethernet1/0/5",now(),now()
69,"Ethernet1/0/6",now(),now()
70,"Ethernet1/0/7",now(),now()
71,"Ethernet1/0/8",now(),now()
72,"Ethernet1/0/9",now(),now()
73,"g1",now(),now()
74,"g2",now(),now()
75,"g3",now(),now()
76,"g4",now(),now()
77,"GigabitEthernet1/0/1",now(),now()
78,"GigabitEthernet1/0/10",now(),now()
79,"GigabitEthernet1/0/11",now(),now()
80,"GigabitEthernet1/0/12",now(),now()
81,"GigabitEthernet1/0/13",now(),now()
82,"GigabitEthernet1/0/14",now(),now()
83,"GigabitEthernet1/0/15",now(),now()
84,"GigabitEthernet1/0/16",now(),now()
85,"GigabitEthernet1/0/17",now(),now()
86,"GigabitEthernet1/0/18",now(),now()
87,"GigabitEthernet1/0/19",now(),now()
88,"GigabitEthernet1/0/2",now(),now()
89,"GigabitEthernet1/0/20",now(),now()
90,"GigabitEthernet1/0/21",now(),now()
91,"GigabitEthernet1/0/22",now(),now()
92,"GigabitEthernet1/0/23",now(),now()
93,"GigabitEthernet1/0/24",now(),now()
94,"GigabitEthernet1/0/25",now(),now()
95,"GigabitEthernet1/0/26",now(),now()
96,"GigabitEthernet1/0/27",now(),now()
97,"GigabitEthernet1/0/28",now(),now()
98,"GigabitEthernet1/0/29",now(),now()
99,"GigabitEthernet1/0/3",now(),now()
100,"GigabitEthernet1/0/30",now(),now()
101,"GigabitEthernet1/0/31",now(),now()
102,"GigabitEthernet1/0/32",now(),now()
103,"GigabitEthernet1/0/4",now(),now()
104,"GigabitEthernet1/0/49",now(),now()
105,"GigabitEthernet1/0/5",now(),now()
106,"GigabitEthernet1/0/50",now(),now()
107,"GigabitEthernet1/0/51",now(),now()
108,"GigabitEthernet1/0/52",now(),now()
109,"GigabitEthernet1/0/6",now(),now()
110,"GigabitEthernet1/0/7",now(),now()
111,"GigabitEthernet1/0/8",now(),now()
112,"GigabitEthernet1/0/9",now(),now()
113,"GigabitEthernet1/1/1",now(),now()
114,"GigabitEthernet1/1/2",now(),now()
115,"GigabitEthernet1/1/3",now(),now()
116,"GigabitEthernet1/1/4",now(),now()
117,"GigabitEthernet3/0/1",now(),now()
118,"GigabitEthernet3/0/10",now(),now()
119,"GigabitEthernet3/0/11",now(),now()
120,"GigabitEthernet3/0/12",now(),now()
121,"GigabitEthernet3/0/13",now(),now()
122,"GigabitEthernet3/0/14",now(),now()
123,"GigabitEthernet3/0/15",now(),now()
124,"GigabitEthernet3/0/16",now(),now()
125,"GigabitEthernet3/0/17",now(),now()
126,"GigabitEthernet3/0/18",now(),now()
127,"GigabitEthernet3/0/19",now(),now()
128,"GigabitEthernet3/0/2",now(),now()
129,"GigabitEthernet3/0/20",now(),now()
130,"GigabitEthernet3/0/21",now(),now()
131,"GigabitEthernet3/0/22",now(),now()
132,"GigabitEthernet3/0/23",now(),now()
133,"GigabitEthernet3/0/24",now(),now()
134,"GigabitEthernet3/0/3",now(),now()
135,"GigabitEthernet3/0/4",now(),now()
136,"GigabitEthernet3/0/5",now(),now()
137,"GigabitEthernet3/0/6",now(),now()
138,"GigabitEthernet3/0/7",now(),now()
139,"GigabitEthernet3/0/8",now(),now()
140,"GigabitEthernet3/0/9",now(),now()
141,"GigabitEthernet4/0/1",now(),now()
142,"GigabitEthernet4/0/10",now(),now()
143,"GigabitEthernet4/0/11",now(),now()
144,"GigabitEthernet4/0/12",now(),now()
145,"GigabitEthernet4/0/13",now(),now()
146,"GigabitEthernet4/0/14",now(),now()
147,"GigabitEthernet4/0/15",now(),now()
